system   D            wsystem.c:585  maybe_parent_dir                 [   0.00050] Also searching C:\Users\User1\Desktop\Lamarri\
display  D   display_settings.c:191  debug_display_settings           [   0.01868] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01869] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01869] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01870] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01871] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01872] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01873] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01873] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01874] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01875] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01876] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01876] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01877] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01878] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01879] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01879] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01880] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01881] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01882] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01882] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01883] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01884] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01885] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01885] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01886] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01887] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01888] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01889] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01889] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01890] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01891] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01892] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01892] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01893] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01894] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01895] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01895] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01896] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01897] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01898] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01898] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01899] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01900] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01901] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01901] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01902] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01903] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01904] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01904] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01905] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01906] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01907] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01907] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01908] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01909] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01910] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01910] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01911] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01912] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01913] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01913] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01914] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01915] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01916] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01917] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01917] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01918] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01919] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01920] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01920] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01921] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01922] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1644 d3d_create_display_internals     [   0.01925] Trying format 0.
d3d      I         d3d_disp.cpp:1325 d3d_display_thread_proc          [   0.01955] Chose a display format: 23
d3d      I         d3d_disp.cpp:1394 d3d_display_thread_proc          [   0.01958] Normal window.
d3d      I         d3d_disp.cpp:800  d3d_create_device                [   0.02796] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:865  d3d_create_device                [   0.06026] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:873  d3d_create_device                [   0.06028] Success
d3d      D         d3d_disp.cpp:1667 d3d_create_display_internals     [   0.06030] Resumed after wait.
d3d      I         d3d_disp.cpp:1700 d3d_create_display_internals     [   0.06033] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1723 d3d_create_display_internals     [   0.06035] Returning d3d_display: 00821578
d3d      D         d3d_disp.cpp:1748 d3d_create_display_locked        [   0.06036] al_display=00821578
d3d      D         d3d_disp.cpp:1749 d3d_create_display_locked        [   0.06036] al_display->vt=00824378
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.06387] Font arial.ttf loaded with pixel size 0 x 18.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.06389]     ascent=16.0, descent=-4.0, height=21.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.06390] added dtor for object 04235EF0, func 52C81B68
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.06671] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.06673] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.06675] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.06675] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.06676] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.06678] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.06679] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.06679] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.06680] Fake format
d3d      D         d3d_disp.cpp:1173 real_choose_bitmap_format        [   0.06680] Alpha doesn't match
d3d      D         d3d_disp.cpp:1180 real_choose_bitmap_format        [   0.06681] Adapter format is 23
d3d      D         d3d_disp.cpp:1183 real_choose_bitmap_format        [   0.06682] Found a format
d3d      I         d3d_disp.cpp:2296 _al_d3d_create_bitmap            [   0.06682] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.06725] added dtor for object 04237110, func 52C825BD
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.06759] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.06760] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.07047] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.07049] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.07050] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.07050] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.07051] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.07051] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.07052] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.07053] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.07053] Fake format
d3d      D         d3d_disp.cpp:1173 real_choose_bitmap_format        [   0.07054] Alpha doesn't match
d3d      D         d3d_disp.cpp:1180 real_choose_bitmap_format        [   0.07055] Adapter format is 23
d3d      D         d3d_disp.cpp:1183 real_choose_bitmap_format        [   0.07055] Found a format
d3d      I         d3d_disp.cpp:2296 _al_d3d_create_bitmap            [   0.07056] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.07198] added dtor for object 042432B0, func 52C825BD
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.08566] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.08568] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10065] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10067] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10068] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10069] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10069] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10070] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10070] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10071] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10072] Fake format
d3d      D         d3d_disp.cpp:1173 real_choose_bitmap_format        [   0.10072] Alpha doesn't match
d3d      D         d3d_disp.cpp:1180 real_choose_bitmap_format        [   0.10074] Adapter format is 23
d3d      D         d3d_disp.cpp:1183 real_choose_bitmap_format        [   0.10076] Found a format
d3d      I         d3d_disp.cpp:2296 _al_d3d_create_bitmap            [   0.10077] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.10475] added dtor for object 04243420, func 52C825BD
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.10532] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.10533] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10788] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10789] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10790] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10791] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10791] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10792] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10793] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10793] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10794] Fake format
d3d      D         d3d_disp.cpp:1173 real_choose_bitmap_format        [   0.10794] Alpha doesn't match
d3d      D         d3d_disp.cpp:1180 real_choose_bitmap_format        [   0.10795] Adapter format is 23
d3d      D         d3d_disp.cpp:1183 real_choose_bitmap_format        [   0.10796] Found a format
d3d      I         d3d_disp.cpp:2296 _al_d3d_create_bitmap            [   0.10796] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.10823] added dtor for object 0424DA08, func 52C825BD
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.10827] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.10828] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.10924] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.10925] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.11023] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.11024] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.11194] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.11195] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.11196] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.11197] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.11197] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.11198] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.11198] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.11199] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.11200] Fake format
d3d      D         d3d_disp.cpp:1173 real_choose_bitmap_format        [   0.11200] Alpha doesn't match
d3d      D         d3d_disp.cpp:1180 real_choose_bitmap_format        [   0.11201] Adapter format is 23
d3d      D         d3d_disp.cpp:1183 real_choose_bitmap_format        [   0.11202] Found a format
d3d      I         d3d_disp.cpp:2296 _al_d3d_create_bitmap            [   0.11202] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.11298] added dtor for object 04256B58, func 52C825BD
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.11456] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.11457] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.11848] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.11849] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.11850] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.11851] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.11852] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.11852] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.11853] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.11853] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.11854] Fake format
d3d      D         d3d_disp.cpp:1173 real_choose_bitmap_format        [   0.11855] Alpha doesn't match
d3d      D         d3d_disp.cpp:1180 real_choose_bitmap_format        [   0.11855] Adapter format is 23
d3d      D         d3d_disp.cpp:1183 real_choose_bitmap_format        [   0.11856] Found a format
d3d      I         d3d_disp.cpp:2296 _al_d3d_create_bitmap            [   0.11857] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.12011] added dtor for object 04256D28, func 52C825BD
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.12554] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.12557] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.13894] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.13896] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.13897] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.13897] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.13898] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.13899] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.13899] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.13900] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.13900] Fake format
d3d      D         d3d_disp.cpp:1173 real_choose_bitmap_format        [   0.13901] Alpha doesn't match
d3d      D         d3d_disp.cpp:1180 real_choose_bitmap_format        [   0.13902] Adapter format is 23
d3d      D         d3d_disp.cpp:1183 real_choose_bitmap_format        [   0.13902] Found a format
d3d      I         d3d_disp.cpp:2296 _al_d3d_create_bitmap            [   0.13903] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.14086] added dtor for object 04256E38, func 52C825BD
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.14573] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.14576] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15898] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15899] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15900] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15901] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15901] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15902] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15903] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15903] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15904] Fake format
d3d      D         d3d_disp.cpp:1173 real_choose_bitmap_format        [   0.15905] Alpha doesn't match
d3d      D         d3d_disp.cpp:1180 real_choose_bitmap_format        [   0.15905] Adapter format is 23
d3d      D         d3d_disp.cpp:1183 real_choose_bitmap_format        [   0.15906] Found a format
d3d      I         d3d_disp.cpp:2296 _al_d3d_create_bitmap            [   0.15907] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.16069] added dtor for object 04256F48, func 52C825BD
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.16460] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.16462] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.17836] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.17838] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.17839] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.17840] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.17840] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.17841] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.17841] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.17842] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.17843] Fake format
d3d      D         d3d_disp.cpp:1173 real_choose_bitmap_format        [   0.17843] Alpha doesn't match
d3d      D         d3d_disp.cpp:1180 real_choose_bitmap_format        [   0.17844] Adapter format is 23
d3d      D         d3d_disp.cpp:1183 real_choose_bitmap_format        [   0.17845] Found a format
d3d      I         d3d_disp.cpp:2296 _al_d3d_create_bitmap            [   0.17845] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.17922] added dtor for object 04257058, func 52C825BD
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.17941] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.17942] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:184  _al_register_destructor          [   0.18011] added dtor for object 042360D0, func 52C824FA
dtor     D               dtor.c:184  _al_register_destructor          [   0.18013] added dtor for object 04256C68, func 52C827CA
dtor     D               dtor.c:184  _al_register_destructor          [   0.18014] added dtor for object 04236230, func 52C824FA
dtor     D               dtor.c:184  _al_register_destructor          [   0.18014] added dtor for object 04236368, func 52C824FA
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.22117] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.22120] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.22134] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.22135] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.23637] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.23640] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.23672] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.23674] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.23685] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.23686] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.23725] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.23726] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.24023] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.24028] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.24297] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.24300] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.24495] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.24497] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.91440] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.91441] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.91442] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.91443] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.91443] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.91444] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.91445] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.91445] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.91446] Fake format
d3d      D         d3d_disp.cpp:1173 real_choose_bitmap_format        [   0.91447] Alpha doesn't match
d3d      D         d3d_disp.cpp:1180 real_choose_bitmap_format        [   0.91447] Adapter format is 23
d3d      D         d3d_disp.cpp:1183 real_choose_bitmap_format        [   0.91448] Found a format
d3d      I         d3d_disp.cpp:2296 _al_d3d_create_bitmap            [   0.91449] Chose bitmap format 9
font     D                ttf.c:217  alloc_glyph_region               [   0.91511] Glyph 43: 13x15 (16x16)
